<tbl>
<tt> Code(s) für Sprachen des Textes
<dt> 1500.tab
<tag> 1500
<row>Jüdisch-Arabisch QQ /1jrb
<row>Jüdisch-Persisch QQ /1jpr
<row>Kabylisch QQ /1kab
<row>Kachin-Sprache QQ /1kac
<row>Kamba-Sprache QQ /1kam
<row>Kambodschanisch QQ /1khm
<row>Kannada QQ /1kan
<row>Kanuri-Sprache QQ /1kau
<row>Karakalpakisch QQ /1kaa
<row>Karenisch QQ /1kar
<row>Karibische Sprachen QQ /1car
<row>Kasachisch QQ /1kaz
<row>Kaschmiri QQ /1kas
<row>Katalanisch QQ /1cat
<row>Kaukasische Sprachen (Andere) QQ /1cau
<row>Kawi QQ /1kaw
<row>Keltische Sprachen (Andere) QQ /1cel
<row>Khasi-Sprache QQ /1kha
<row>Khoisan-Sprachen (Andere) QQ /1khi
<row>Khotta QQ /1mag
<row>Kikuyu-Sprache QQ /1kik
<row>Kimbundu-Sprache QQ /1kmb
<row>Kirchenslawisch QQ /1chu
<row>Kirgisisch QQ /1kir
<row>Komi-Sprache QQ /1kom
<row>Kongo-Sprache QQ /1kon
<row>Konkani QQ /1kok
<row>Koptisch QQ /1cop
<row>Koreanisch QQ /1kor
<row>Kornisch QQ /1cor
<row>Korsisch QQ /1cos
<row>Kosraeanisch QQ /1kos
<row>Kpelle-Sprache QQ /1kpe
<row>Kreolische Sprachen (Pidgin-Sprachen) QQ /1crp
<row>Kreolisch-Englisch QQ /1cpe
<row>Kreolisch-Französisch (Andere) QQ /1cpf
<row>Kreolisch-Portugiesisch (Andere) QQ /1cpp
<row>Kroatisch QQ /1hrv
<row>Kru-Sprachen QQ /1kro
<row>Kumükisch QQ /1kum
<row>Kurdisch QQ /1kur
<row>Kuschitische Sprachen (Andere) QQ /1cus
<row>Kutchin-Sprache QQ /1gwi
<row>Kutenai-Sprache QQ /1kut
<row>Kwanyama-Sprache QQ /1kua
<row>Kymrisch QQ /1wel
<row>Lahndā QQ /1lah
<row>Lamba-Sprache <Bantusprache> QQ /1lam
<row>Laotisch QQ /1lao
<row>Latein QQ /1lat
<row>Lesgisch QQ /1lez
<row>Lettisch QQ /1lav
<row>Lingala QQ /1lin
<row>Litauisch QQ /1lit
<row>Luba-Katanga-Sprache QQ /1lub
<row>Luiseño-Sprache QQ /1lui
<row>Lulua-Sprache QQ /1lua
<row>Lunda-Sprache QQ /1lun
<row>Luo-Sprache QQ /1luo
<row>Lushai-Sprache QQ /1lus
<row>Luxemburgisch QQ /1ltz
<row>Maduresisch QQ /1mad
<row>Maithili QQ /1mai
<row>Makassarisch QQ /1mak
<row>Makedonisch QQ /1mac
<row>Malagassi-Sprache QQ /1mlg
<row>Malaiisch QQ /1may
<row>Malayalam QQ /1mal
<row>Maledivisch QQ /1div
<row>Malinke-Sprache QQ /1man
<row>Maltesisch QQ /1mlt
<row>Mandaresisch QQ /1mdr
<row>Mandschurisch QQ /1mnc
<row>Manobo-Sprache QQ /1mno
<row>Manx QQ /1glv
<row>Maori-Sprache QQ /1mao
<row>Marathi QQ /1mar
<row>Marschallesisch QQ /1mah
<row>Mārwārī QQ /1mwr
<row>Massai-Sprache QQ /1mas
<row>Maya-Sprachen QQ /1myn
<row>Mbundu-Sprache QQ /1umb
<row>Mehrere Sprachen QQ /1mul
