<tbl>
<tt> Code-Angaben der ZDB
<dt> 0600.tab
<tag> 0600
<row>Aggregatordatenbank QQ ag
<row>Allianz-Lizenz QQ al
<row>DFG-geförderte Allianz-Lizenz QQ ad
<row>Digitalisierungsmaster QQ dm
<row>entsäuerter, nicht alterungsbeständiger Bestand QQ es
<row>früher Zeitschrift oder zeitschriftenartige Reihe QQ fp
<row>zeitungsähnliche Periodika oder früher Zeitung QQ fn
<row>früher Schriftenreihe QQ fr
<row>nicht säurefreies Papier QQ ks
<row>Karten QQ kt
<row>Langzeitarchivierung elektronischer Ressourcen QQ la
<row>layoutgetreue Digitalisierung QQ ld
<row>Mikroformmaster QQ mm
<row>Musiktonträger QQ mt
<row>mehrbändiges Werk QQ mw
<row>Nationalkonsortium QQ nk
<row>Nationallizenz QQ nl
<row>Noten QQ nt
<row>Parlamentaria QQ pa
<row>Pay-per-use-Datenbank QQ pu
<row>Restitutionsbestand vorhanden QQ rs
<row>säurefreies und alterungsbeständiges Papier QQ sf
<row>sekundäre Mikroform QQ sm
<row>Software QQ sw
<row>Tonträger QQ tt
<row>Videopublikation QQ vi
<row>Weblog QQ wl
<row>Zeitung QQ zt
<row>merged QQ mg
<row>new QQ nw
</tbl>
