<tbl>
<tt> Quelle Werkverzeichnisse 
<dt> 670.tab
<tag> 670
<row> rhe QQ RheinbergerWV QQ Rheinberger, Joseph
<row> rie QQ RiesWV QQ Ries, Ferdinand
<row> ros QQ RöslerWV QQ Rosetti, Antonio
<row> rous QQ RousselWV QQ Roussel, Albert
<row> sain QQ SaintSaensWV QQ Saint-Saëns, Camille
<row> scard QQ DScarlattiWV QQ Scarlatti, Domenico
<row> schaf QQ CSWV QQ Schaffrath, Christoph
<row> schei QQ SSWV QQ Scheidt, Samuel
<row> schoec QQ SchoeckWV QQ Schoeck, Othmar
<row> schoen QQ SchönbergWV QQ Schönberg, Arnold
<row> schub QQ D QQ Schubert, Franz
<row> schue QQ SWV QQ Schütz, Heinrich
<row> schumc QQ CSchumannWV QQ Schumann, Clara
<row> schumr QQ RSchumannWV QQ Schumann, Robert
<row> schwa QQ SchwarzSchillingWV QQ Schwarz-Schilling, Reinhard
<row> shos QQ SostakovicWV QQ Šostakovic, Dmitrij D.
<row> sib QQ SibeliusWV QQ Sibelius, Jean
<row> skr QQ SkrjabinWV QQ Skrjabin, Aleksandr N.
<row> spe QQ SpergerWV QQ Sperger, Johannes Matthias
<row> spo QQ SpohrWV QQ Spohr, Louis
<row> sto QQ StolzWV QQ Stolz, Robert
<row> str QQ RStraussWV QQ Strauss, Richard
<row> strav QQ StravinskyWV QQ Stravinsky, Igor
<row> sts QQ JStaussS QQ Strauss, Johann Sohn
<row> sue QQ SmWV QQ Süßmayr, Franz Xaver
<row> tarb QQ TartiniB QQ Brainard: Tartini
<row> tard QQ TartiniD QQ Dounias: Tartini
<row> tel QQ TWV QQ Telemann, Georg Philipp
<row> tor QQ TorelliWV QQ Torelli, Giuseppe (Musiker)
<row> van QQ VanhalWV QQ Vanhal, Jan Krtitel
<row> ver QQ VerdiWV QQ Verdi, Giuseppe
<row> vio QQ ViottiWV QQ Viotti, Giovanni Battista
<row> viv QQ RV QQ Vivaldi, Antonio
<row> wagek QQ WagenseilWV Klavier QQ Wagenseil - Klavier
<row> wageo QQ WagenseilWV Orchester QQ Wagenseil - Orchester
<row> wagn QQ WagnerWV QQ Wagner, Richard
<row> web QQ WeberWV QQ Weber, Carl Maria von
<row> wol QQ HWW QQ Wolf, Hugo
<row> zac QQ ZachowWV QQ Zachow, Friedrich Wilhelm
<row> zel QQ ZelenkaWV QQ Zelenka, Jan Dismas
</tbl>
