<tbl>
<tt> DDC-Schwerpunktgruppen der ZDB
<dt> 5080.tab
<tag> 5080
<row>Allgemeine Sammelwerke QQ 080
<row>Allgemeine Statistiken QQ 310
<row>Allgemeines, Wissenschaft QQ "000"
<row>Alte Geschichte, Archäologie QQ 930
<row>Andere germanische Sprachen QQ 439
<row>Andere Religionen QQ 290
<row>Andere Sprachen QQ 490
<row>Architektur QQ 720
<row>Astronomie, Kartographie QQ 520
<row>Belletristik QQ B
<row>Bibel QQ 220
<row>Bibliografien QQ 010
<row>Bibliotheks- und Informationswissenschaft QQ 020
<row>Biografie, Genealogie, Heraldik QQ 920
<row>Biowissenschaften, Biologie QQ 570
<row>Bräuche, Etikette, Folklore QQ 390
<row>Chemie QQ 540
<row>Comics, Cartoons, Karikaturen QQ 741.5
<row>Deutsch QQ 430
<row>Deutsche Literatur QQ 830
<row>Druckgrafik, Drucke QQ 760
<row>Elektrotechnik, Elektronik QQ 621.3
<row>Englisch QQ 420
<row>Englische Literatur QQ 820
<row>Englische Literatur Amerikas QQ 810
<row>Enzyklopädien QQ 030
<row>Erziehungs-, Schul- und Bildungswesen QQ 370
<row>Fotografie, Video, Computerkunst QQ 770
<row>Französische Literatur QQ 840
<row>Französisch, romanische Sprachen allgemein QQ 440
<row>Freizeitgestaltung, Darstellende Kunst QQ 790
<row>Geografie, Reisen QQ 910
<row>Geografie, Reisen (Deutschland) QQ 914.3
<row>Geografie, Reisen (Österreich) QQ 914.36
<row>Geografie, Reisen (Schweiz) QQ 914.94
<row>Geowissenschaften QQ 550
<row>Geschichte QQ 900
<row>Geschichte Afrikas QQ 960
<row>Geschichte Asiens QQ 950
<row>Geschichte der übrigen Welt QQ 990
<row>Geschichte Deutschlands QQ 943
<row>Geschichte Europas QQ 940
<row>Geschichte Nordamerikas QQ 970
<row>Geschichte Österreichs QQ 943.6
<row>Geschichte der Schweiz QQ 949.4
<row>Geschichte Südamerikas QQ 980
<row>Druckgrafik, Drucke QQ 760
<row>Grafik, angewandte Kunst QQ 740
<row>Griechisch QQ 480
<row>Griechische Literatur QQ 880
<row>Handel, Kommunikation, Verkehr QQ 380
<row>Handschriften, seltene Bücher QQ 090
<row>Hausbau, Bauhandwerk QQ 690
<row>Hauswirtschaft QQ 640
<row>Industrielle Fertigung QQ 670
<row>Informatik QQ 004
<row>Ingenieurbau und Umwelttechnik QQ 624
<row>Ingenieurwissenschaften und Maschinenbau QQ 620
<row>Italienisch, Rumänisch, Rätoromanisch QQ 450
<row>Italienische, rumänische, rätoromanische Literatur QQ 850
<row>Kinder- und Jugendliteratur QQ K
<row>Künste, Bildende Kunst allgemein QQ 700
<row>Landschaftsgestaltung, Raumplanung QQ 710
<row>Landwirtschaft, Veterinärmedizin QQ 630
<row>Latein QQ 470
<row>Lateinische Literatur QQ 870
<row>Literatur in anderen germanischen Sprachen QQ 839
<row>Literatur in anderen Sprachen QQ 890
<row>Literatur, Rhetorik, Literaturwissenschaft QQ 800
<row>Malerei QQ 750
<row>Management QQ 650
<row>Mathematik QQ 510
<row>Medizin, Gesundheit QQ 610
<row>Militär QQ 355
<row>Musik QQ 780
<row>Nachrichtenmedien, Journalismus, Verlagswesen QQ 070
<row>Natürliche Ressourcen, Energie und Umwelt QQ 333.7
<row>Naturwissenschaften QQ 500
<row>Öffentliche Darbietungen, Film, Rundfunk QQ 791
<row>Öffentliche Verwaltung QQ 350
<row>Organisationen, Museumswissenschaft QQ 060
<row>Paläontologie QQ 560
<row>Parapsychologie, Okkultismus QQ 130
<row>Pflanzen (Botanik) QQ 580
<row>Philosophie QQ 100
<row>Physik QQ 530
<row>Plastik, Numismatik, Keramik, Metallkunst QQ 730
<row>Politik QQ 320
<row>Psychologie QQ 150
<row>Recht QQ 340
<row>Religion, Religionsphilosophie QQ 200
<row>Schulbücher QQ S
<row>Slawische Literatur QQ 891.8
<row>Slawische Sprachen QQ 491.8
<row>Soziale Probleme, Sozialdienste, Versicherungen QQ 360
<row>Sozialwissenschaften, Soziologie, Anthropologie QQ 300
<row>Spanisch, Portugiesisch QQ 460
<row>Spanische und portugiesische Literatur QQ 860
<row>Spiel QQ 793
<row>Sport QQ 796
<row>Sprache, Linguistik QQ 400
<row>Allgemeine Statistiken QQ 310
<row>Technik QQ 600
<row>Technische Chemie QQ 660
<row>Theater, Tanz QQ 792
<row>Theologie, Christentum QQ 230
<row>Tiere (Zoologie) QQ 590
<row>Wirtschaft QQ 330
<row>Grafik, angewandte Kunst QQ 740
<row>Zeitschriften, fortlaufende Sammelwerke QQ 050
</tbl>
