<tbl>
<tt> Inhaltstyp
<dt> 0501.tab
<tag> 0501
<row>txt QQ $btxt QQ Text
<row>tdi QQ $btdi QQ zweidimensionales bewegtes Bild
<row>ntm QQ $bntm QQ Noten
<row>crd QQ $bcrd QQ kartografischer Datensatz
<row>spw QQ $bspw QQ gesprochenes Wort
<row>prm QQ $bprm QQ aufgeführte Musik
<row>ntv QQ $bntv QQ Bewegungsnotation
<row>cod QQ $bcod QQ Computerdaten
<row>cop QQ $bcop QQ Computerprogramm
<row>tdf QQ $btdf QQ dreidimensionale Form
<row>tdm QQ $btdm QQ dreidimensionales bewegtes Bild
<row>snd QQ $bsnd QQ Geräusche
<row>crf QQ $bcrf QQ kartografische taktile dreidimensionale Form
<row>crm QQ $bcrm QQ kartografisches bewegtes Bild
<row>cri QQ $bcri QQ kartografisches Bild
<row>crt QQ $bcrt QQ kartografisches taktiles Bild
<row>crn QQ $bcrn QQ kartografische dreidimensionale Form
<row>tcn QQ $btcn QQ taktile Bewegungsnotation
<row>tcf QQ $btcf QQ taktile dreidimensionale Form
<row>tcm QQ $btcm QQ taktile Noten
<row>tct QQ $btct QQ taktiler Text
<row>sti QQ $bsti QQ unbewegtes Bild
<row>xxx QQ $bxxx QQ Sonstige
<row>zzz QQ $bzzz QQ nicht spezifiziert
</tbl>
